origen,destino,tiempo_minutos
C-NORTE,Z-11,47.8
C-NORTE,Z-13,30.0
C-NORTE,Z-22,17.5
C-NORTE,Z-23,19.5
C-NORTE,Z-26,12.6
C-ORIENTE,Z-25,38.2
C-ORIENTE,Z-31,25.4
C-ORIENTE,Z-44,16.9
C-PONIENTE,Z-04,23.7
C-PONIENTE,Z-05,16.5
C-PONIENTE,Z-37,24.4
C-PONIENTE,Z-43,13.1
C-PONIENTE,Z-46,7.9
C-SUR,Z-12,16.1
C-SUR,Z-14,24.5
C-SUR,Z-34,33.0
C-SUR,Z-38,2.2
C-SUR,Z-47,38.9
Z-01,Z-07,13.0
Z-01,Z-08,31.9
Z-01,Z-49,27.4
Z-02,Z-18,24.4
Z-02,Z-19,2.0
Z-02,Z-44,32.8
Z-02,Z-50,16.2
Z-03,Z-04,17.9
Z-03,Z-35,15.8
Z-03,Z-47,16.7
Z-04,Z-05,24.3
Z-05,Z-37,20.7
Z-05,Z-43,5.7
Z-06,Z-15,8.9
Z-06,Z-29,15.7
Z-06,Z-30,4.1
Z-06,Z-36,5.0
Z-06,Z-40,11.1
Z-06,Z-50,59.0
Z-07,Z-08,33.1
Z-07,Z-17,18.7
Z-07,Z-31,23.0
Z-07,Z-49,15.8
Z-08,Z-17,47.6
Z-09,Z-23,20.8
Z-09,Z-25,16.8
Z-09,Z-41,19.5
Z-09,Z-44,38.1
Z-09,Z-48,42.4
Z-10,Z-20,8.7
Z-10,Z-27,23.9
Z-10,Z-34,12.9
Z-10,Z-47,19.1
Z-11,Z-24,17.5
Z-11,Z-28,19.2
Z-11,Z-33,14.0
Z-11,Z-39,4.2
Z-11,Z-45,7.8
Z-12,Z-14,7.2
Z-12,Z-35,34.6
Z-12,Z-36,18.2
Z-12,Z-38,17.6
Z-13,Z-16,8.9
Z-13,Z-21,15.8
Z-13,Z-28,18.5
Z-13,Z-39,29.2
Z-14,Z-17,15.3
Z-14,Z-38,18.3
Z-14,Z-49,24.2
Z-14,Z-50,56.3
Z-15,Z-30,5.8
Z-15,Z-36,13.4
Z-15,Z-40,1.4
Z-16,Z-21,18.3
Z-16,Z-28,14.4
Z-16,Z-33,10.7
Z-16,Z-42,21.2
Z-17,Z-49,7.0
Z-18,Z-19,20.3
Z-18,Z-29,16.1
Z-18,Z-42,24.5
Z-19,Z-47,57.5
Z-19,Z-49,42.0
Z-19,Z-50,10.1
Z-20,Z-27,21.3
Z-20,Z-34,21.6
Z-21,Z-28,14.9
Z-22,Z-23,8.8
Z-22,Z-26,3.2
Z-23,Z-26,9.5
Z-24,Z-32,14.8
Z-24,Z-39,8.4
Z-24,Z-43,43.0
Z-24,Z-45,22.5
Z-24,Z-51,9.9
Z-25,Z-41,10.8
Z-25,Z-44,16.2
Z-25,Z-48,22.9
Z-27,Z-34,10.8
Z-28,Z-33,10.0
Z-29,Z-30,14.2
Z-29,Z-38,49.6
Z-30,Z-36,9.8
Z-30,Z-40,6.8
Z-31,Z-49,24.1
Z-32,Z-46,10.4
Z-32,Z-51,6.3
Z-34,Z-46,66.5
Z-35,Z-40,23.1
Z-35,Z-47,4.9
Z-37,Z-42,21.5
Z-37,Z-43,9.6
Z-39,Z-45,11.7
Z-41,Z-48,18.8
Z-43,Z-46,14.9
Z-44,Z-50,30.9
Z-46,Z-51,16.2
