id,ubicacion,prioridad,tipo,timestamp,estado
I-0001,Z-47,5,accidente_vehicular,2026-07-03T19:10,pendiente
I-0002,Z-38,1,incendio,2026-07-02T07:09,pendiente
I-0003,Z-51,4,accidente_vehicular,2026-07-01T18:06,pendiente
I-0004,Z-34,4,rescate,2026-07-03T15:19,pendiente
I-0005,Z-09,2,emergencia_medica,2026-07-02T12:38,pendiente
I-0006,Z-11,2,inundacion,2026-07-02T17:15,pendiente
I-0007,Z-18,5,emergencia_medica,2026-07-02T19:36,pendiente
I-0008,Z-23,4,fuga_gas,2026-07-03T10:50,pendiente
I-0009,Z-30,3,emergencia_medica,2026-07-03T13:31,pendiente
I-0010,Z-15,4,inundacion,2026-07-03T10:35,pendiente
I-0011,Z-35,3,fuga_gas,2026-07-01T22:24,pendiente
I-0012,Z-08,3,emergencia_medica,2026-07-03T16:21,pendiente
I-0013,Z-22,4,rescate,2026-07-03T18:12,pendiente
I-0014,Z-39,2,fuga_gas,2026-07-02T11:56,pendiente
I-0015,Z-01,1,incendio,2026-07-02T20:32,pendiente
I-0016,Z-47,3,fuga_gas,2026-07-03T05:30,pendiente
I-0017,Z-45,3,rescate,2026-07-02T16:51,pendiente
I-0018,Z-26,3,accidente_vehicular,2026-07-01T18:29,pendiente
I-0019,Z-25,2,incendio,2026-07-01T22:51,pendiente
I-0020,Z-18,2,accidente_vehicular,2026-07-04T06:15,pendiente
I-0021,Z-35,2,emergencia_medica,2026-07-04T09:45,pendiente
I-0022,Z-30,3,incendio,2026-07-04T02:03,pendiente
I-0023,Z-07,4,emergencia_medica,2026-07-03T20:13,pendiente
I-0024,Z-20,5,derrumbe,2026-07-02T05:10,pendiente
I-0025,Z-34,2,incendio,2026-07-02T01:25,pendiente
I-0026,Z-35,4,incendio,2026-07-03T17:21,pendiente
I-0027,Z-50,3,derrumbe,2026-07-03T15:34,pendiente
I-0028,Z-05,2,emergencia_medica,2026-07-03T19:58,pendiente
I-0029,Z-13,3,accidente_vehicular,2026-07-03T17:30,pendiente
I-0030,Z-02,4,rescate,2026-07-04T00:58,pendiente
I-0031,Z-44,1,accidente_vehicular,2026-07-03T15:06,pendiente
I-0032,Z-44,3,emergencia_medica,2026-07-03T19:16,pendiente
I-0033,Z-23,5,inundacion,2026-07-03T19:26,pendiente
I-0034,Z-02,4,inundacion,2026-07-02T13:04,pendiente
I-0035,Z-01,3,inundacion,2026-07-01T12:42,pendiente
