id,x,y
C-NORTE,50.0,92.0
C-SUR,50.0,8.0
C-ORIENTE,92.0,50.0
C-PONIENTE,8.0,50.0
Z-01,84.29,16.3
Z-02,55.43,56.57
Z-03,14.24,27.21
Z-04,5.63,36.8
Z-05,17.05,46.05
Z-06,44.03,33.14
Z-07,76.08,17.74
Z-08,95.58,3.69
Z-09,73.55,76.77
Z-10,27.86,17.05
Z-11,6.99,85.15
Z-12,50.27,20.79
Z-13,29.11,86.66
Z-14,55.29,21.63
Z-15,37.68,29.07
Z-16,25.08,82.81
Z-17,65.65,16.92
Z-18,41.58,53.53
Z-19,56.19,54.91
Z-20,31.14,11.69
Z-21,25.74,96.37
Z-22,60.52,85.13
Z-23,60.45,79.17
Z-24,4.93,75.63
Z-25,86.41,72.89
Z-26,58.41,84.94
Z-27,15.54,8.02
Z-28,16.76,89.32
Z-29,37.22,42.15
Z-30,40.7,32.49
Z-31,76.51,37.23
Z-32,5.33,62.8
Z-33,17.29,81.07
Z-34,20.15,12.01
Z-35,24.75,31.31
Z-36,47.42,33.73
Z-37,19.67,56.37
Z-38,51.93,7.53
Z-39,5.45,83.3
Z-40,36.62,28.56
Z-41,86.12,82.05
Z-42,32.1,67.95
Z-43,15.94,49.88
Z-44,83.19,60.28
Z-45,2.6,89.29
Z-46,4.88,54.93
Z-47,23.41,28.69
Z-48,94.98,89.23
Z-49,67.93,21.49
Z-50,63.69,56.17
Z-51,5.18,68.22
